icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
a33272,FFT73,,3.019,2.4,-104.674376,39.85445,ground,True,0.0,,,,,6122,False,0,0
c00a0d,ACA1038,,3.182,3.2,-104.673187,39.854325,ground,True,0.1,,,,,3226,False,0,0
a226c5,FFT3565,,3.62,0.7,-104.672883,39.855263,ground,True,0.0,,,,,5757,False,0,0
a5db2c,ASA1491,,2.044,1.4,-104.671734,39.852768,ground,True,0.0,,,,,3262,False,0,0
ad01ab,SWA3949,,1.654,1.7,-104.670547,39.863531,ground,True,0.0,,,,,1415,False,0,0
a29aa5,SKW3675,,3.788,1.6,-104.670017,39.853374,ground,True,0.0,,,,,3530,False,0,0
a84d25,FFT1815,,2.554,0.9,-104.669629,39.854542,ground,True,0.0,,,,,7411,False,0,0
a8e3b3,FFT4464,,0.206,0.2,-104.669301,39.85524,ground,True,0.1,,,,,3205,False,0,0
a47d46,FFT685,,1.134,0.2,-104.66806,39.854546,ground,True,0.0,,,,,1200,False,0,0
a89fda,FFT2147,,10.392,6.3,-104.667778,39.853752,ground,True,0.0,,,,,2266,False,0,0
a45bd7,FFT3982,,4.279,0.2,-104.667539,39.852734,ground,True,0.0,,,,,0576,False,0,0
a8bc34,FFT2350,,4.308,4.3,-104.666473,39.854558,ground,True,0.0,,,,,7344,False,0,0
a39dca,FFT3600,,1.927,1.9,-104.665539,39.854107,ground,True,0.0,,,,,1445,False,0,0
abf9f8,SWA2582,,0.042,0.0,-104.66227,39.865013,ground,True,21.5,,,,,3620,False,0,0
a5958c,SWA2279,,0.428,0.4,-104.662136,39.876858,ground,True,5.2,,,,,3551,False,0,0
a55017,UAL419T,,1.298,0.2,-104.660479,39.836151,5000,False,140.0,0.82,-256.0,,5375.0,1161,False,0,0
a009df,OPS 15,,0.004,0.0,-104.641876,39.861017,ground,True,0.0,,,,,,False,0,0
a0cbd6,SKW5276,,0.225,0.0,-104.638611,39.577595,10575,False,230.8,333.21,-448.0,,10850.0,2532,False,0,0
ac972b,N910FC,,0.267,0.1,-104.638489,39.461168,18500,False,285.0,180.0,,,18725.0,5160,False,0,0
a5539c,N442SA,,0.042,0.0,-104.633545,39.277752,11275,False,149.1,91.92,-64.0,,11525.0,1200,False,0,0
ab4b43,N827EC,,0.363,0.4,-104.630169,40.411206,4600,False,99.5,9.84,,,4900.0,1200,False,0,0
a966b2,CONGO65,,0.203,0.0,-104.622206,38.985947,8150,False,108.7,349.93,512.0,,8475.0,4621,False,0,0
a2be09,N276NY,,0.0,0.0,-104.614501,40.260424,5575,False,97.1,228.76,-192.0,,5825.0,1200,False,0,0
a111e5,N1681D,,0.042,0.0,-104.605957,40.211792,7100,False,101.5,95.65,-64.0,,7375.0,1200,False,0,0
ae68f2,DAGGR44,,0.206,0.0,-104.599792,38.90161,19975,False,184.9,58.72,0.0,,20350.0,5147,False,0,0
a48e53,N393EA,,28.776,28.8,-104.570259,38.943958,ground,True,5.2,149.06,,,,,False,0,0
aa7115,N772GK,,0.21,0.1,-104.568647,39.808731,5800,False,96.0,271.79,-704.0,,6100.0,1200,False,0,0
a49197,N3939X,,0.368,0.0,-104.566856,38.964111,7200,False,88.1,347.54,192.0,,7500.0,1200,False,0,0
a9c0a4,N7275R,,0.076,0.0,-104.560852,39.793924,5100,False,50.0,90.0,-256.0,,5400.0,1200,False,0,0
a48321,DAL530,,0.258,0.2,-104.557251,39.865521,7150,False,193.8,114.05,704.0,,7450.0,2772,False,0,0
ad5460,SWA924,,0.044,0.0,-104.501526,39.788337,10550,False,258.0,180.89,-704.0,,10825.0,4010,False,0,0
a752bf,SKW5556,,0.224,0.2,-104.492065,39.372952,11975,False,236.1,310.71,-1152.0,,12200.0,2257,False,0,0
a7d3fe,SKW5462,,0.372,0.0,-104.484253,39.915332,11950,False,269.7,215.34,,,12150.0,3645,False,0,0
a32f9d,EJA304,,0.363,0.0,-104.473592,38.341168,41000,False,477.4,143.35,64.0,,41600.0,6537,False,0,0
a97797,SKW6407,,0.316,0.1,-104.423046,36.662613,37000,False,505.8,121.99,,,37900.0,1405,False,0,0
a65b6b,N509AM,,1.24,0.1,-104.412212,39.390335,7625,False,96.2,98.97,-192.0,,7875.0,1200,False,0,0
a15374,N185CC,,0.562,0.6,-104.409485,39.12399,8100,False,96.7,262.88,,,8400.0,1200,False,0,0
aaad78,N7874N,,0.26,0.1,-104.405212,38.688122,8875,False,81.7,172.27,,,9150.0,4670,False,0,0
a1a398,CXK298,,0.316,0.3,-104.392029,38.837787,7450,False,113.0,271.01,384.0,,7725.0,4665,False,0,0
adda1e,AAL2177,,0.316,0.1,-104.373214,38.354187,32000,False,387.5,253.2,0.0,,32650.0,2635,False,0,0
ac4279,SWA1101,,0.26,0.0,-104.345935,39.091507,21650,False,477.3,165.93,1920.0,,22025.0,3245,False,0,0
a1c44b,N2127P,,0.155,0.1,-104.325195,39.102995,8900,False,113.6,297.24,-256.0,,9050.0,1200,False,0,0
aaacec,N7870N,,4.606,4.6,-104.304737,38.722733,8300,False,103.0,1.67,0.0,,8475.0,,False,0,0
ac30fe,N885G,,0.282,0.1,-104.297273,38.862122,7625,False,68.0,178.32,-320.0,,7950.0,1200,False,0,0
a7ce4e,CXK548,,0.26,0.3,-104.259338,38.814325,6750,False,97.7,42.51,-192.0,,7075.0,4664,False,0,0
a033ff,DAL803,,0.316,0.0,-104.239356,37.511188,37000,False,493.9,137.13,,,37900.0,1506,False,0,0
a7d1ef,N6026Z,,0.355,0.3,-104.202942,39.606411,7275,False,102.9,164.21,-128.0,,7550.0,1200,False,0,0
ac95a7,N91PR,,0.101,0.1,-104.192214,41.175268,41000,False,511.6,42.7,,,41125.0,2626,False,0,0
a21fbb,KFB236,,0.0,0.0,-104.109601,36.524467,41000,False,484.8,63.01,-128.0,,41850.0,1626,False,0,0
a1bc92,JBU2511,,0.348,0.3,-104.061928,35.217513,33975,False,408.6,275.05,64.0,,35025.0,1370,False,0,0
a6a358,NJM527,,0.785,0.2,-104.047222,36.243393,45000,False,361.7,236.62,-128.0,,45625.0,3020,False,0,0
c04034,CFYID,,0.428,0.1,-104.042275,40.055733,26000,False,257.3,267.33,0.0,,26225.0,2465,False,0,0
ab23b5,DAL1536,,0.066,0.1,-104.032104,38.459038,34000,False,392.7,242.39,0.0,,34650.0,2623,False,0,0
ad9b94,SKW5649,,0.225,0.2,-104.028355,40.124724,17550,False,293.6,238.37,,,17700.0,1620,False,0,0
ab7feb,CXK1106,,0.081,0.1,-104.014526,40.874222,8150,False,152.5,196.77,384.0,,8375.0,1200,False,0,0
a9d5e4,UAL1273,,0.363,0.0,-103.996765,38.902448,33000,False,546.1,95.04,0.0,,33600.0,3544,False,0,0
a27737,SWA265,,0.225,0.1,-103.99395,36.612305,36000,False,375.2,255.33,0.0,,36875.0,2515,False,0,0
ae017a,TRICK13,,0.17,0.2,-103.983999,41.670258,11450,False,255.4,232.64,,,11575.0,5113,False,0,0
a1b573,SWA1853,,0.348,0.2,-103.974083,35.778421,37000,False,495.6,87.22,0.0,,37925.0,7776,False,0,0
a701c9,N5500F,,0.075,0.1,-103.943322,39.462708,9325,False,169.2,273.05,-128.0,,9600.0,1200,False,0,0
a0c9c7,N15VX,,0.363,0.2,-103.925469,38.283164,43000,False,384.3,274.63,,,43550.0,7151,False,0,0
abadd6,SWA3230,,0.206,0.1,-103.827393,40.197235,19450,False,324.0,255.71,-1728.0,,19600.0,4026,False,0,0
